"id";"pregunta";"created_at";"updated_at"
43;"Se cuenta con elementos especiales de transporte para el movimiento de materiales y herramientas, como pallet Jack, grúas portátiles, carros de accesorios y transportadores";"";""
44;"La limpieza del equipo, herramientas y el área de trabajo es adecuada, lo que representa un factor importante para la eficiencia de las actividades";"";""
45;"Se utilizan materiales ligeros en los moldes y en el equipo que facilitan la instalación, transporte y mantenimiento";"";""
46;"Existen pocos mecanismos para realizar las actividades de cambio y no es necesario cambiar piezas completas o conexiones de tuberías";"";""
47;"Las herramientas tienen pocos accesorios y se utilizan pocas herramientas manuales en las actividades de cambio";"";""
48;"Las partes y herramientas esenciales para el cambio se encuentran estandarizadas";"";""
49;"Se utilizan dispositivos de sujeción para mantener objetos fijos en un sitio con un esfuerzo mínimo";"";""
50;"Existe universalidad en las herramientas, herrajes y piezas utilizadas en los procesos";"";""
51;"Los equipos son tolerantes a la variación de los elementos de cambios de productos respecto a sus dimensiones, resistencia, peso, etc";"";""
52;"Las piezas defectuosas son identificadas y separadas";"";""
53;"Se utilizan sistemas a prueba y error (poka-yoke), para evitar errores y garantizar la calidad y la seguridad en las actividades de cambios rápidos";"";""
54;"Las configuraciones productivas como: talleres, centros de trabajo, líneas de producción, fabricación modular, fabricación continua, etc., que maneja la empresa tienen un efecto sobre los tiempos de cambios rápidos";"";""
55;"Existen mecanismos y/o  controles para lograr y mantener la precisión de las piezas de cambio y garantizar la calidad del producto";"";""
56;"Con una revisión visual se puede saber si los materiales, herramientas, etc., están presentes para llevar a cabo el cambio rápido ya que son Identificación con facilidad por color, grabado, acabado, etc";"";""
57;"Las tareas son independientes, por lo que hace posible realizar varias tareas a la vez en el proceso de cambio";"";""
58;"La falta de mantenimiento en los equipos afecta al buen desempeño de los  cambios rápidos";"";""
59;"Existe una estructura organizacional clara que permite que cada persona conozca su rol  y sus  responsabilidades";"";""
60;"Existe un área o grupo específico para la mejora continua de los procesos de la empresa, y desde ahí se plantean y se abordan los problemas y la  reducción de tiempos de  los equipos";"";""
61;"Se tienen objetivos estratégicos para reducir los tiempos de cambios, incrementar la disponibilidad de la máquina o equipo y la reducción de costos relacionadas con las actividades de cambio";"";""
62;"Se cuenta con objetivos establecidos para reducir los desperdicios ocasionados en las actividades de cambios rápidos";"";""
63;"Existe apoyo económico para la implementación de mejoras en el equipo, herramientas, área de trabajo etc. que simplifique y mejore la calidad en las actividades de cambio";"";""
64;"En el proceso de mejora se utilizan herramientas para el análisis de como 5 porqués, diagramas de Pareto, diagramas de causa efecto, ciclo de PDCA, gráficas de control, entre otras que ayudan a identificar las áreas de oportunidad en las actividades de cambios";"";""
65;"Se hacen uso de técnicas complementarias para la mejora de los procesos como 5´s, Poka yoke, Justo a Tiempo, TPM, Kanban, DMAIC, Mapeo de Cadena de Valor, Trabajo Estandarizado, Kaizen, entre otras que apoyan a la eficiencia de los tiempos de cambio";"";""
66;"La implementación de varias metodologías de mejora continua a la vez favorecen a las actividades de cambio rápidos";"";""
67;"Los roles de las personas que participan en las actividades de cambios rápidos,  son asignados de acuerdo a su experiencia, conocimientos y habilidades  lo que permite tener mayor resultados en el proceso";"";""
68;"La alta dirección apoya la implementación de proyectos de cambios rápidos";"";""
69;"La empresa tiene una cultura de aseguramiento de la calidad y documenta sus procesos operativos";"";""
70;"Al momento de realizar el trabajo, se siguen los procedimientos en el orden y secuencia indicada";"";""
71;"Se cuenta con la información del tiempo requerido para realizar cada uno de los cambios";"";""
72;"Cada que se realizan acciones de mejora se documenta y se actualiza el procedimiento del proceso";"";""
73;"Existe un reporte de las incidencias encontradas en los procesos para la realización de un cambio";"";""
74;"Se tienen identificadas, documentadas y asignadas  las tareas o actividades,  lo cual facilita el desarrollo y evitar errores";"";""
75;"Existen procedimientos de reajuste que den un enlace directo entre una falla observada en el producto y el parámetro que debe ser reajustado";"";""
76;"Los cambios no planeados en el plan de producción diaria afectan los tiempos de cambios de modelos";"";""
77;"Sólo se utilizan las herramientas, materiales y medios de control establecidos para realizar el cambio";"";""
78;"Las condiciones del entorno (medioambientales, puesto de trabajo, estanterías, etc.) son adecuados para llevar a cabo los cambios rápidos";"";""
79;"Se cuenta  con equipo de protección para la seguridad del personal que realiza las tareas de cambios rápidos";"";""
